timestamp_utc: 2026-08-16T02:25:06Z
git_sha: 3e14c7e0ad027c7d0187e7a0524f0a5db976e126
dirty_tree: false
capture_eligibility: eligible
no_regression: N/A
gin_version: v1.12.0
fixture_identity: gin-v1.12.0-parser-only-local
go_version: go version go1.26.6 darwin/arm64
goos: darwin
goarch: arm64
cpu: 1,2,4
logical_cpus: 10
benchmark_count: 5
max_output_bytes: 10485760
command: go test -timeout=10m -run \^\$ -bench \^BenchmarkGinAdapter -benchmem -count=5 -cpu=1\,2\,4 ./web/gin
output_begin
goos: darwin
goarch: arm64
pkg: github.com/bluetape4k/bluetape-go/web/gin
cpu: Apple M5
BenchmarkGinAdapter/Bridge/Parallel               	 1000000	      1208 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel               	  979958	      1199 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel               	  976720	      1200 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel               	 1000000	      1198 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel               	  988270	      1204 ns/op	    5840 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-2             	 1000000	      1028 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-2             	 1000000	      1023 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-2             	 1000000	      1045 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-2             	 1000000	      1032 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-2             	 1000000	      1033 ns/op	    5841 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-4             	 1297868	       925.8 ns/op	    5843 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-4             	 1299643	       931.9 ns/op	    5843 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-4             	 1289361	       925.9 ns/op	    5843 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-4             	 1293145	       927.6 ns/op	    5844 B/op	      18 allocs/op
BenchmarkGinAdapter/Bridge/Parallel-4             	 1283253	       951.4 ns/op	    5843 B/op	      18 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial            	  214426	      5194 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial            	  231442	      5162 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial            	  234043	      5138 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial            	  232663	      5158 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial            	  233456	      5160 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-2          	  276090	      4356 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-2          	  271700	      4369 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-2          	  276398	      4347 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-2          	  273774	      4373 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-2          	  271419	      4383 ns/op	   12010 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-4          	  277148	      4330 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-4          	  275726	      4340 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-4          	  277346	      4321 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-4          	  277280	      4333 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Serial-4          	  278245	      4349 ns/op	   12013 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel          	  231957	      5179 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel          	  235392	      5137 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel          	  235090	      5131 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel          	  233558	      5139 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel          	  233672	      5480 ns/op	   12009 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel-2        	  326262	      4314 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel-2        	  326556	      3518 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel-2        	  344062	      3485 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel-2        	  341450	      3515 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel-2        	  347929	      3433 ns/op	   12011 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel-4        	  400951	      2940 ns/op	   12016 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel-4        	  418780	      2945 ns/op	   12016 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel-4        	  412572	      2995 ns/op	   12016 B/op	      96 allocs/op
BenchmarkGinAdapter/FullAdapter/Parallel-4        	  401590	      2979 ns/op	   12016 B/op	      96 allocs/op
